Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","515","Apples","2010","2010","7001","January","LCU","481","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","515","Apples","2010","2010","7002","February","LCU","536","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","515","Apples","2010","2010","7003","March","LCU","485","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","515","Apples","2010","2010","7004","April","LCU","461","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","515","Apples","2010","2010","7005","May","LCU","505","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","515","Apples","2010","2010","7006","June","LCU","459","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","515","Apples","2010","2010","7007","July","LCU","659","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","515","Apples","2010","2010","7008","August","LCU","642","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","515","Apples","2010","2010","7009","September","LCU","805","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","515","Apples","2010","2010","7010","October","LCU","787","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","515","Apples","2010","2010","7011","November","LCU","778","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","515","Apples","2010","2010","7012","December","LCU","646","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","367","Asparagus","2010","2010","7003","March","LCU","2690","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","367","Asparagus","2010","2010","7004","April","LCU","2601","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","367","Asparagus","2010","2010","7005","May","LCU","3020","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","367","Asparagus","2010","2010","7006","June","LCU","1903","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","44","Barley","2010","2010","7001","January","LCU","215","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","44","Barley","2010","2010","7002","February","LCU","208","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","44","Barley","2010","2010","7003","March","LCU","194","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","44","Barley","2010","2010","7004","April","LCU","187","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","44","Barley","2010","2010","7005","May","LCU","195","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","44","Barley","2010","2010","7006","June","LCU","167","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","44","Barley","2010","2010","7007","July","LCU","174","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","44","Barley","2010","2010","7008","August","LCU","169","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","44","Barley","2010","2010","7009","September","LCU","166","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","44","Barley","2010","2010","7010","October","LCU","171","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","44","Barley","2010","2010","7011","November","LCU","177","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","44","Barley","2010","2010","7012","December","LCU","177","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","176","Beans, dry","2010","2010","7001","January","LCU","686","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","176","Beans, dry","2010","2010","7002","February","LCU","670","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","176","Beans, dry","2010","2010","7003","March","LCU","655","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","176","Beans, dry","2010","2010","7004","April","LCU","675","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","176","Beans, dry","2010","2010","7005","May","LCU","613","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","176","Beans, dry","2010","2010","7006","June","LCU","573","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","176","Beans, dry","2010","2010","7007","July","LCU","569","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","176","Beans, dry","2010","2010","7008","August","LCU","648","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","176","Beans, dry","2010","2010","7009","September","LCU","584","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","176","Beans, dry","2010","2010","7010","October","LCU","567","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","176","Beans, dry","2010","2010","7011","November","LCU","593","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","176","Beans, dry","2010","2010","7012","December","LCU","536","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","358","Cabbages and other brassicas","2010","2010","7001","January","LCU","736","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","358","Cabbages and other brassicas","2010","2010","7002","February","LCU","809","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","358","Cabbages and other brassicas","2010","2010","7003","March","LCU","1111","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","358","Cabbages and other brassicas","2010","2010","7004","April","LCU","1279","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","358","Cabbages and other brassicas","2010","2010","7005","May","LCU","1512","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","358","Cabbages and other brassicas","2010","2010","7006","June","LCU","725","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","358","Cabbages and other brassicas","2010","2010","7007","July","LCU","688","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","358","Cabbages and other brassicas","2010","2010","7008","August","LCU","580","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","358","Cabbages and other brassicas","2010","2010","7009","September","LCU","611","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","358","Cabbages and other brassicas","2010","2010","7010","October","LCU","694","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","358","Cabbages and other brassicas","2010","2010","7011","November","LCU","1160","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","358","Cabbages and other brassicas","2010","2010","7012","December","LCU","1464","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","426","Carrots and turnips","2010","2010","7001","January","LCU","628","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","426","Carrots and turnips","2010","2010","7002","February","LCU","527","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","426","Carrots and turnips","2010","2010","7003","March","LCU","606","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","426","Carrots and turnips","2010","2010","7004","April","LCU","604","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","426","Carrots and turnips","2010","2010","7005","May","LCU","604","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","426","Carrots and turnips","2010","2010","7006","June","LCU","578","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","426","Carrots and turnips","2010","2010","7007","July","LCU","597","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","426","Carrots and turnips","2010","2010","7008","August","LCU","597","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","426","Carrots and turnips","2010","2010","7009","September","LCU","591","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","426","Carrots and turnips","2010","2010","7010","October","LCU","593","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","426","Carrots and turnips","2010","2010","7011","November","LCU","608","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","426","Carrots and turnips","2010","2010","7012","December","LCU","578","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","191","Chick peas","2010","2010","7001","January","LCU","642","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","191","Chick peas","2010","2010","7002","February","LCU","606","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","191","Chick peas","2010","2010","7003","March","LCU","655","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","191","Chick peas","2010","2010","7004","April","LCU","732","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","191","Chick peas","2010","2010","7005","May","LCU","606","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","191","Chick peas","2010","2010","7006","June","LCU","564","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","191","Chick peas","2010","2010","7007","July","LCU","571","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","191","Chick peas","2010","2010","7008","August","LCU","0","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","191","Chick peas","2010","2010","7009","September","LCU","551","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","191","Chick peas","2010","2010","7010","October","LCU","525","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","191","Chick peas","2010","2010","7011","November","LCU","626","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","191","Chick peas","2010","2010","7012","December","LCU","635","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","397","Cucumbers and gherkins","2010","2010","7001","January","LCU","381","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","397","Cucumbers and gherkins","2010","2010","7002","February","LCU","311","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","397","Cucumbers and gherkins","2010","2010","7003","March","LCU","459","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","397","Cucumbers and gherkins","2010","2010","7004","April","LCU","419","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","397","Cucumbers and gherkins","2010","2010","7005","May","LCU","536","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","397","Cucumbers and gherkins","2010","2010","7006","June","LCU","567","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","397","Cucumbers and gherkins","2010","2010","7007","July","LCU","573","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","397","Cucumbers and gherkins","2010","2010","7008","August","LCU","514","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","397","Cucumbers and gherkins","2010","2010","7009","September","LCU","379","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","397","Cucumbers and gherkins","2010","2010","7010","October","LCU","445","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","397","Cucumbers and gherkins","2010","2010","7011","November","LCU","780","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","397","Cucumbers and gherkins","2010","2010","7012","December","LCU","525","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","1062","Eggs, hen, in shell","2010","2010","7001","January","LCU","1454.8","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","1062","Eggs, hen, in shell","2010","2010","7002","February","LCU","1298","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","1062","Eggs, hen, in shell","2010","2010","7003","March","LCU","1638.4","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","1062","Eggs, hen, in shell","2010","2010","7004","April","LCU","1083.3","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","1062","Eggs, hen, in shell","2010","2010","7005","May","LCU","894.1","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","1062","Eggs, hen, in shell","2010","2010","7006","June","LCU","874.3","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","1062","Eggs, hen, in shell","2010","2010","7007","July","LCU","1001.4","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","1062","Eggs, hen, in shell","2010","2010","7008","August","LCU","1114.4","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","1062","Eggs, hen, in shell","2010","2010","7009","September","LCU","895.5","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","1062","Eggs, hen, in shell","2010","2010","7010","October","LCU","1148.3","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","1062","Eggs, hen, in shell","2010","2010","7011","November","LCU","1596","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","1062","Eggs, hen, in shell","2010","2010","7012","December","LCU","1525.4","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","507","Grapefruit (inc. pomelos)","2010","2010","7001","January","LCU","244","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","507","Grapefruit (inc. pomelos)","2010","2010","7002","February","LCU","196","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","507","Grapefruit (inc. pomelos)","2010","2010","7003","March","LCU","163","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","507","Grapefruit (inc. pomelos)","2010","2010","7004","April","LCU","115","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","507","Grapefruit (inc. pomelos)","2010","2010","7005","May","LCU","112","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","507","Grapefruit (inc. pomelos)","2010","2010","7006","June","LCU","149","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","507","Grapefruit (inc. pomelos)","2010","2010","7007","July","LCU","36","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","507","Grapefruit (inc. pomelos)","2010","2010","7008","August","LCU","14","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","507","Grapefruit (inc. pomelos)","2010","2010","7009","September","LCU","130","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","507","Grapefruit (inc. pomelos)","2010","2010","7010","October","LCU","30","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","507","Grapefruit (inc. pomelos)","2010","2010","7011","November","LCU","319","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","507","Grapefruit (inc. pomelos)","2010","2010","7012","December","LCU","207","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","560","Grapes","2010","2010","7006","June","LCU","717","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","560","Grapes","2010","2010","7007","July","LCU","507","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","560","Grapes","2010","2010","7008","August","LCU","474","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","560","Grapes","2010","2010","7009","September","LCU","463","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","560","Grapes","2010","2010","7010","October","LCU","474","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","560","Grapes","2010","2010","7011","November","LCU","551","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","560","Grapes","2010","2010","7012","December","LCU","827","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","242","Groundnuts, with shell","2010","2010","7001","January","LCU","456","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","242","Groundnuts, with shell","2010","2010","7002","February","LCU","463","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","242","Groundnuts, with shell","2010","2010","7003","March","LCU","454","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","242","Groundnuts, with shell","2010","2010","7004","April","LCU","450","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","242","Groundnuts, with shell","2010","2010","7005","May","LCU","452","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","242","Groundnuts, with shell","2010","2010","7006","June","LCU","476","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","242","Groundnuts, with shell","2010","2010","7007","July","LCU","474","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","242","Groundnuts, with shell","2010","2010","7008","August","LCU","456","","Official data"
"PP","Producer Prices","231","United States of America","5530","Producer Price (LCU/tonne)","242","Groundnuts, with shell","2010","2010","7009","September","LCU","441","","Official data"
